TEFF,LOGG,O_FE,MG_FE,FE_H
4580.0864,2.3925078,0.04608099,0.046295002,0.20293
4917.9956,2.7351677,0.004579,0.017692,0.066552
4621.3423,2.275919,0.069772094,0.063937396,-0.24544
4126.883,1.3631401,0.0759477,0.06644301,-0.23996
4815.8057,2.8347569,0.24197301,0.266523,-0.38078
6099.3076,4.1288815,0.052551907,-0.0412115,-0.10061
4836.3193,2.4417558,0.22968301,0.296723,-0.36704
6372.0513,4.3953795,0.060833897,-0.1096565,0.029314
6059.464,3.9946105,0.12406291,-0.048711494,-0.11934
4688.5693,2.7416651,0.046276703,0.0670749,0.056484
4661.7104,2.4087183,0.16672999,0.168912,-0.06472
3974.2104,1.425848,0.06785203,0.060411,0.097914
4666.765,2.55343,0.048756003,0.025559003,-0.027804
4932.014,2.8413801,-0.015528992,0.016814992,0.14819
4322.7485,1.7091703,0.07180099,0.055090994,-0.2241
5986.0083,4.1085763,0.1645229,0.043662503,-0.28115
5423.446,4.4656496,0.07235489,-0.024780497,0.08941
4998.947,2.7370732,-0.032505,-0.026740998,-0.093
5932.3057,4.053963,0.04272589,-0.020996496,0.15237
3388.3547,4.6789594,,,
4170.165,1.4869602,0.10854299,0.10552099,-0.26292
4387.046,1.2906678,0.31768298,0.28239298,-1.2957
5066.815,3.1202688,0.127161,0.12471199,-0.45435
3833.3638,0.81554943,0.13751999,0.14648697,-0.40602
4464.8154,2.5331182,0.06980738,0.084591985,0.28062
5975.149,4.1652074,0.1609529,0.0233645,-0.17175
6203.966,3.8775332,0.110624894,-0.05553949,0.097472
5728.902,4.034472,0.022490919,0.009564519,0.27514
4723.8076,2.2945123,0.14357199,0.092925996,-0.25926
4176.1016,1.4534492,0.07735999,0.0720042,-0.27613
4525.446,4.621238,0.016152903,-0.016461492,-0.23565
4076.146,0.9711347,0.302123,0.35118303,-0.5417
4226.1855,4.6438828,0.11144288,0.11861047,-0.29994
4532.3755,2.3735938,0.053230017,0.044800013,0.1909
5059.3438,3.3569024,0.03415501,0.060819812,-0.17346
5018.248,2.3761559,0.23558298,0.10941899,-0.61269
4717.8804,2.4983466,0.033166997,0.015482001,0.089852
4815.3755,2.5404012,0.228973,0.14812401,-0.48618
4663.837,2.478577,9.7990036e-05,0.01580599,0.1848
4493.833,2.3540938,0.092095,0.0787848,-0.065196
6337.4805,4.1784363,0.3369729,0.077717796,-0.29784
5031.7925,4.556402,0.16790289,0.15803948,-0.5259
4904.9395,3.0549126,0.013466999,0.021104,-0.048028
4602.421,2.1125836,0.163533,0.153712,-0.47246
5398.469,3.929201,0.177693,0.06409566,0.13818
5575.3174,3.8009217,0.0864729,-0.041291498,0.013
5774.0757,4.1079535,0.006511599,0.022544503,0.09128
4202.856,4.6005907,-0.088459134,-0.16904151,-0.35827
4843.771,2.9672208,0.072144,0.089398004,-0.15574
3979.816,1.3339899,0.109167,0.11741301,-0.041276
4985.197,2.689253,0.13127697,0.11090392,-0.64785
4707.135,2.6733756,0.04155,0.026398,0.031514
6004.607,4.1641097,0.14320289,0.010378495,-0.14016
3968.0813,1.5005548,0.061867297,-0.008211993,0.12899
6217.639,4.088982,0.063281894,0.005354494,-0.1999
4653.938,2.1527734,0.046621993,0.018792003,-0.22546
4920.944,3.306633,0.024903998,0.052368,0.094007
4902.5107,2.4944966,0.01246801,0.053157,-0.1602
4570.0454,2.1577554,0.15261,0.14015901,-0.38036
4637.31,2.332964,0.36328298,0.37856296,-0.62836
4982.812,2.3800387,0.20787302,0.098536015,-0.54505
4913.6294,2.5418272,0.163486,0.099129006,-0.33183
4818.5356,2.722428,0.18579301,0.14948902,-0.35003
4623.0483,2.0871933,0.136863,0.12416899,-0.41185
4099.419,1.6217332,0.0696474,0.04393401,0.033708
6064.317,4.246327,0.1666989,0.004323505,-0.067566
4566.102,2.4476106,0.041988,0.045689,0.095019
4754.368,4.5991497,0.00082919,-0.009407498,-0.04181
4515.9233,2.3394804,0.162303,0.171673,-0.071966
5898.4434,3.8553185,-0.0061221123,-0.020656511,0.20145
4669.631,2.2751887,0.280473,0.265703,-0.24232
4898.1436,2.4879756,0.19293302,0.230553,-0.40062
5365.052,4.337888,0.1301429,-0.004472494,-0.10388
3303.5894,0.4910493,0.058418304,-0.0026409924,0.22134
4139.7314,1.4959595,0.248593,0.24649301,-0.31724
4743.735,4.5888205,0.031033907,0.03630851,-0.063954
4949.2573,2.63882,0.097225994,0.052497,-0.21411
4619.8315,2.4106712,0.027231008,0.03842601,0.13481
4494.389,4.59469,-0.021313097,-0.09309449,0.082178
5709.6826,4.489462,0.012164403,-0.0462575,-0.03369
6357.341,4.016565,0.101867884,-0.091571495,0.18726
4141.0566,1.721338,0.077456,0.06450869,0.11821
5595.1665,3.9367316,0.111198895,0.053092502,-0.079348
3435.694,0.07733123,0.07514304,0.23929298,-0.86746
4311.584,4.6045485,-0.027657107,-0.07490149,-0.17415
